checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,36,0,2,5371,1,1,3,0,1,2,1,28,0,0,2,0,1,1,0,0
1,18,1,5,1913,3,4,3,3,0,3,0,36,1,0,1,0,1,0,0,0
0,33,0,2,4281,2,1,1,1,0,4,3,23,0,0,2,0,1,1,0,1
2,24,0,7,5507,1,0,3,0,0,4,2,44,0,1,2,0,1,1,0,0
2,21,2,4,2993,1,1,3,0,0,2,0,28,2,0,2,1,1,1,0,0
1,12,1,0,1092,1,1,4,1,1,4,0,49,0,0,2,0,1,0,0,0
0,18,1,0,1882,1,1,4,1,0,4,3,25,1,2,2,0,1,1,0,1
0,18,0,3,5302,1,0,2,0,0,4,2,36,0,1,3,2,1,0,0,0
1,9,1,2,918,1,1,4,1,0,1,1,30,0,0,1,0,1,1,0,1
1,24,1,2,4351,0,1,1,1,0,4,1,48,0,0,1,1,1,0,0,0
2,15,0,0,1316,2,1,2,3,0,2,1,47,0,0,2,1,1,1,0,0
1,24,1,3,1246,1,4,4,0,0,2,0,23,2,0,1,1,1,1,0,1
2,24,2,3,2032,1,0,4,0,0,4,2,60,0,1,2,0,1,0,0,0
0,12,0,4,1409,1,0,4,0,0,3,0,54,0,0,1,0,1,1,0,0
1,9,1,0,458,1,1,4,0,0,3,0,24,0,0,1,0,1,1,0,0
0,12,0,3,2171,1,1,4,0,0,4,1,38,1,0,2,1,1,1,1,0
2,36,2,2,7678,2,2,2,1,0,4,3,40,0,0,2,0,1,0,0,0
2,15,1,6,874,0,4,4,1,0,1,0,24,0,0,1,0,1,1,0,0
0,18,3,2,3114,1,4,1,1,0,4,1,26,0,2,1,0,1,1,0,1
0,36,1,4,8335,0,0,3,0,0,4,2,47,0,1,1,0,1,1,0,1
2,24,0,2,1585,1,2,4,0,0,3,1,40,0,0,2,0,1,1,0,0
1,18,1,0,1113,1,1,4,1,1,4,0,26,0,0,1,1,2,1,0,0
1,12,1,0,1155,1,0,3,3,1,3,0,40,1,0,2,1,1,1,0,0
0,24,1,2,3345,1,0,4,0,0,2,1,39,0,2,1,2,1,0,0,1
2,12,2,7,1555,3,0,4,0,0,4,2,55,0,1,2,0,2,1,0,1
2,24,0,2,2028,1,2,2,0,0,2,1,30,0,0,2,1,1,1,0,0
1,18,3,3,2278,4,4,3,1,0,3,3,28,0,0,2,0,1,1,0,1
2,12,3,2,2759,1,0,2,0,0,4,1,34,0,0,2,0,1,1,0,0
1,18,0,2,3612,1,0,3,1,0,4,1,37,0,0,1,0,1,0,0,0
2,24,0,2,5150,1,0,4,0,0,4,3,33,0,0,1,0,1,0,0,0
0,12,1,0,1498,1,1,4,1,0,1,3,23,1,0,1,0,1,1,0,0
1,8,1,0,1414,1,1,4,0,1,2,0,33,0,0,1,0,1,1,1,0
3,42,3,5,6289,1,4,2,2,0,1,1,33,0,0,2,0,1,1,0,0
1,15,0,0,2728,0,2,4,0,1,2,0,35,1,0,3,0,1,0,0,0
2,6,1,0,2108,1,2,2,3,0,2,0,29,0,2,1,0,1,1,0,0
2,36,1,5,5742,4,2,2,0,0,2,3,31,0,0,2,0,1,0,0,0
1,20,2,4,7057,0,2,3,0,0,4,1,36,1,2,2,2,2,0,0,0
2,18,1,0,1453,1,4,3,1,0,1,0,26,0,0,1,0,1,1,0,0
2,6,1,0,1346,4,0,2,0,0,4,2,42,1,1,1,0,2,0,0,0
0,24,1,4,2812,0,0,2,1,0,4,0,26,0,2,1,0,1,1,0,0
0,24,1,2,7721,0,4,1,1,0,2,1,30,0,0,1,0,1,0,1,0
2,48,1,0,10222,0,2,4,0,0,3,3,37,2,0,1,0,1,0,0,0
2,24,1,0,1278,1,0,4,0,0,1,0,36,0,0,1,2,1,0,0,0
2,24,1,4,5433,0,3,2,1,0,4,1,26,0,2,1,2,1,0,0,0
2,21,1,5,1572,3,0,4,1,0,4,0,36,1,0,1,1,1,1,0,0
2,18,0,0,1800,1,1,4,0,0,2,3,24,0,0,2,0,1,1,0,0
1,36,0,0,2337,1,0,4,0,0,4,0,36,0,0,1,0,1,1,0,0
2,36,2,4,8947,0,2,3,0,0,2,3,31,2,0,1,2,2,0,0,0
0,15,1,2,1845,1,4,4,1,1,1,1,46,0,2,1,0,1,1,0,0
2,30,0,0,3077,0,0,3,0,0,2,3,40,0,0,2,0,2,0,0,0
0,9,1,2,2136,1,1,3,0,0,2,0,25,0,0,1,0,1,1,0,0
1,18,1,3,1042,0,1,4,1,0,2,1,33,0,0,1,0,1,1,0,1
2,48,2,0,7238,0,0,3,0,0,3,3,32,1,0,2,0,2,1,0,0
0,18,1,2,1131,1,3,4,1,0,2,3,33,0,0,1,0,1,1,0,1
1,12,1,2,983,3,4,1,1,0,4,0,19,0,2,1,1,1,1,0,0
2,6,1,2,1766,1,1,1,3,0,2,1,21,0,2,1,0,1,1,0,0
3,6,2,0,683,1,4,2,1,0,1,1,29,1,0,1,0,1,1,0,0
2,24,0,0,2424,0,0,4,0,0,4,1,53,0,0,2,0,1,1,0,0
2,12,1,3,1386,2,1,2,1,0,2,1,26,0,0,1,0,1,1,0,1
0,36,1,2,2712,1,0,2,0,0,2,1,41,1,0,1,0,2,1,0,1
2,18,0,0,2238,1,1,2,1,0,1,3,25,0,0,2,0,1,1,0,0
0,6,0,3,860,1,0,1,1,0,4,2,39,0,0,2,0,1,0,0,0
0,12,0,2,2246,1,0,3,0,0,3,1,60,0,0,2,0,1,1,0,1
3,10,1,3,3949,1,4,1,0,1,1,1,37,0,0,1,1,2,1,0,0
2,12,1,4,4675,0,4,1,1,0,4,3,20,0,2,1,0,1,1,0,0
1,24,1,2,3069,4,0,4,0,0,4,2,30,0,1,1,0,1,1,0,0
0,18,1,0,1345,1,1,4,3,0,3,0,26,1,0,1,0,1,1,0,1
0,15,1,3,1721,1,4,2,0,0,3,0,36,0,0,1,0,1,1,0,0
0,6,1,3,1203,4,0,3,0,0,2,1,43,0,0,1,0,1,0,0,0
1,18,1,3,6260,1,2,3,0,0,3,0,28,0,2,1,1,1,1,0,0
0,24,4,2,3552,1,2,3,0,0,4,3,27,1,0,1,0,1,1,0,1
2,21,2,5,2580,2,4,4,0,0,2,0,41,1,0,1,1,2,1,0,1
3,9,3,0,1337,1,4,4,0,0,2,3,34,0,0,2,2,1,0,0,1
1,10,1,3,7308,1,3,2,0,0,4,2,70,1,1,1,2,1,0,0,0
2,18,1,2,1533,1,4,4,3,2,1,1,43,0,0,1,1,2,1,0,1
2,9,0,1,1244,0,0,4,1,0,4,1,41,0,2,2,1,1,1,0,0
2,15,1,4,3812,4,4,1,1,0,4,3,23,0,0,1,0,1,0,0,0
0,12,1,0,2214,1,1,4,0,0,3,1,24,0,0,1,1,1,1,0,0
2,24,0,0,1851,1,2,4,3,1,2,3,33,0,0,2,0,1,0,0,0
1,27,1,5,2528,1,4,4,1,0,1,1,32,0,0,1,0,2,0,0,0
1,24,0,5,1935,1,0,4,2,0,4,0,31,0,0,2,0,1,0,0,1
1,15,1,7,1514,4,1,4,0,1,2,0,22,0,0,1,0,1,1,0,0
0,6,0,3,3676,1,1,1,0,0,3,0,37,0,2,3,0,2,1,0,0
0,12,1,2,1858,1,4,4,1,0,1,3,22,0,2,1,0,1,1,0,0
1,18,1,2,3001,1,2,2,1,0,4,0,40,0,2,1,0,1,1,0,0
2,10,1,1,727,2,0,4,0,0,4,2,46,0,1,1,0,1,0,0,0
1,15,0,0,1537,0,0,4,0,1,4,0,50,0,0,2,0,1,0,0,0
0,6,0,3,4716,0,4,1,0,0,3,0,44,0,0,2,1,2,1,0,0
1,12,1,7,639,1,1,4,0,0,2,3,30,0,0,1,0,1,1,0,1
1,12,0,4,1804,4,4,3,0,0,4,1,44,0,0,1,0,1,1,0,0
1,21,1,2,3976,0,2,2,0,0,3,3,35,0,0,1,0,1,0,0,0
0,12,4,9,339,1,0,4,3,0,1,3,45,1,0,1,1,1,1,0,0
1,48,3,3,8358,2,4,1,1,0,1,3,30,0,0,2,0,1,1,0,0
0,6,1,3,662,1,4,3,0,0,4,0,41,0,0,1,1,2,0,0,0
1,30,0,3,2181,0,0,4,0,0,4,0,36,0,0,2,0,1,1,0,0
2,27,1,3,2570,1,1,3,1,0,3,0,21,0,2,1,0,1,1,0,1
1,12,2,0,585,1,1,4,3,2,4,0,20,0,2,2,0,1,1,0,0
0,24,1,0,1938,1,4,4,2,0,3,1,32,0,0,1,0,1,1,0,1
1,36,1,0,2323,1,2,4,0,0,4,3,24,0,2,1,0,1,1,0,0
2,24,1,4,2603,3,1,2,1,0,4,3,28,0,2,1,0,1,0,0,0
3,42,0,4,4796,1,0,4,0,0,4,2,56,0,1,1,0,1,1,0,0
2,10,1,2,2210,1,1,2,0,0,2,0,25,1,2,1,1,1,1,0,1
0,15,0,2,975,1,1,2,2,0,3,1,25,0,0,2,0,1,1,0,0
2,21,1,0,3160,0,0,4,0,0,3,1,41,0,0,1,0,1,0,0,0
2,36,2,0,4454,1,1,4,1,0,4,0,34,0,0,2,0,1,1,0,0
0,36,0,2,6229,1,4,4,1,2,4,2,23,0,2,2,1,1,0,0,1
0,24,1,2,3149,1,4,4,0,0,1,2,22,1,1,1,0,1,1,0,0
0,24,4,2,2483,2,1,4,0,0,4,0,22,2,0,1,0,1,0,0,0
1,30,0,3,4249,1,3,4,3,0,2,3,28,0,0,2,2,1,1,0,1
1,10,1,2,1521,1,1,4,2,0,2,3,31,0,0,1,1,1,1,0,0
1,24,2,0,6403,1,4,1,0,0,2,3,33,0,0,1,0,1,1,0,0
0,60,2,5,6836,1,0,3,0,0,4,2,63,0,0,2,0,1,0,0,1
2,12,1,0,2279,0,1,4,0,0,4,2,37,0,1,1,0,1,0,0,0
2,36,0,5,6304,0,0,4,0,0,4,0,36,0,0,2,0,1,1,0,0
2,24,2,5,2375,2,1,4,0,0,2,3,44,0,0,2,0,2,0,0,0
3,30,2,5,1908,1,0,4,0,0,4,0,66,0,0,1,2,1,0,0,1
0,42,1,2,7882,1,2,2,0,1,4,1,45,0,1,1,0,2,1,0,0
1,24,1,3,2718,1,1,3,1,0,4,1,20,0,2,1,1,1,0,0,1
2,15,4,0,1569,4,0,4,0,0,4,3,34,1,0,1,1,2,1,0,0
2,12,0,2,3331,1,0,2,0,0,4,1,42,2,0,1,0,1,1,0,0
0,24,1,3,3123,1,4,4,1,0,1,1,27,0,0,1,0,1,1,0,1
1,36,4,6,3990,0,4,3,1,0,2,2,29,1,0,1,3,1,1,0,0
1,24,0,4,7758,3,0,2,1,0,4,2,29,0,2,1,0,1,1,0,0
2,9,1,0,2753,4,0,3,0,2,4,3,35,0,0,1,0,1,0,0,0
2,12,0,2,5801,0,0,2,0,0,4,1,49,0,2,1,0,1,0,0,0
3,12,1,3,1330,1,4,4,0,0,1,0,26,0,0,1,0,1,1,0,0
1,12,1,4,2028,0,1,4,0,0,2,3,30,0,0,1,0,1,1,0,0
2,12,0,1,3565,0,4,2,0,0,1,1,37,0,0,2,1,2,1,0,0
2,24,2,5,8648,1,4,2,0,0,2,3,27,1,0,2,0,1,0,0,1
1,36,1,2,9034,4,4,4,0,2,1,2,29,0,2,1,2,1,0,0,1
3,24,0,0,3148,0,1,3,0,0,2,3,31,0,0,2,0,1,0,0,0
2,36,0,4,10477,0,0,2,0,0,4,2,42,0,1,2,0,1,1,0,0
2,7,2,0,846,0,0,3,0,0,4,2,36,0,1,1,0,1,1,0,0
2,36,1,0,3595,1,0,4,0,0,2,3,28,0,0,1,0,1,1,0,0
0,24,2,0,1024,1,4,4,3,0,4,0,48,2,0,1,0,1,1,0,1
2,12,1,5,1542,1,2,2,0,0,4,3,36,0,0,1,0,1,0,0,0
0,42,1,0,3965,1,4,4,0,0,3,3,34,0,0,1,0,1,1,0,1
1,9,1,5,1391,1,1,2,3,0,1,0,27,1,0,1,0,1,0,0,0
2,18,1,4,3378,0,1,2,0,0,1,1,31,0,0,1,0,1,0,0,0
3,12,1,2,1424,0,0,3,1,0,4,0,55,0,0,1,2,1,0,0,0
2,24,4,5,1559,1,2,4,0,0,4,3,50,1,0,1,0,1,0,0,0
1,12,1,5,1037,4,2,3,0,0,4,0,39,0,0,1,1,1,1,0,0
0,6,0,3,609,1,2,4,1,0,3,1,37,0,0,2,0,1,1,1,0
0,15,3,3,950,1,0,4,0,0,3,3,33,0,2,2,0,2,1,0,1
0,12,1,2,2577,1,1,2,2,0,1,3,42,0,0,1,0,1,1,0,0
0,15,2,2,3643,1,0,1,1,0,4,1,27,0,0,2,1,1,1,0,0
0,42,2,0,4370,1,2,3,0,0,2,1,26,1,0,2,0,2,0,0,1
2,36,0,3,6614,1,0,4,0,0,4,3,34,0,0,2,2,1,0,0,0
2,18,1,0,4594,1,4,3,0,0,2,3,32,0,0,1,0,1,0,0,0
2,6,0,0,1237,4,1,1,1,0,1,1,27,0,0,2,0,1,1,0,0
0,30,1,7,11998,1,4,1,2,0,1,2,34,0,0,1,1,1,0,0,1
2,9,1,1,3832,0,0,1,0,0,4,0,64,0,0,1,1,1,1,0,0
0,36,0,1,8065,1,1,3,1,0,2,2,25,0,0,2,2,1,0,0,1
0,18,4,3,1442,1,2,4,0,0,4,2,32,0,1,2,1,2,1,0,1
2,21,1,2,2241,1,0,4,0,0,2,0,50,0,0,2,0,1,1,0,0
2,12,1,3,3527,0,4,2,0,0,3,1,45,0,0,1,2,2,0,0,0
0,21,1,0,2606,1,4,4,1,0,4,1,28,0,2,1,2,1,0,0,0
0,14,1,3,8978,1,0,1,2,0,4,1,45,0,0,1,2,1,0,1,1
2,24,0,4,4042,0,2,3,0,0,4,1,43,0,0,2,0,1,0,0,0
1,24,2,2,2064,1,3,3,1,0,2,1,34,0,0,1,2,1,0,0,1
0,9,1,0,1366,1,4,3,1,0,4,1,22,0,2,1,0,1,1,0,1
0,18,1,6,1217,1,1,4,3,0,3,0,47,0,0,1,1,1,0,0,1
1,60,1,1,6288,1,1,4,0,0,4,2,42,0,1,1,0,1,1,0,1
2,48,2,0,12749,2,2,4,0,0,1,3,37,0,0,1,2,1,0,0,0
0,15,0,2,1478,1,0,4,0,0,4,3,44,0,0,2,0,2,0,0,0
2,48,0,5,7629,0,0,4,2,0,2,3,46,1,0,2,2,2,1,0,0
0,30,3,2,4583,1,1,2,2,1,2,0,32,0,0,2,0,1,1,0,0
2,12,1,3,2859,0,3,4,0,0,4,2,38,0,0,1,2,1,0,0,0
1,12,1,2,951,4,4,4,1,0,4,3,27,1,2,4,0,1,1,0,1
2,9,0,3,1224,1,1,3,0,0,1,0,30,0,0,2,0,1,1,0,0
2,15,1,4,4657,1,1,3,0,0,2,3,30,0,0,1,0,1,0,0,0
0,24,1,4,6579,1,3,4,0,0,2,2,29,0,1,1,2,1,0,0,0
2,21,1,3,2782,2,2,1,1,0,2,3,31,1,0,1,2,1,1,0,0
1,24,1,0,1967,1,0,4,1,0,4,3,20,0,0,1,0,1,0,0,0
2,21,0,2,2288,1,4,4,1,0,4,1,23,0,0,1,0,1,0,0,0
2,24,0,1,1597,1,0,4,0,0,4,2,54,0,1,2,0,2,1,0,0
2,24,1,4,6313,0,0,3,0,0,4,3,41,0,0,1,2,2,0,0,0
2,12,1,3,640,1,1,4,2,0,2,0,49,0,0,1,1,1,1,0,0
2,6,2,0,932,1,1,3,1,0,2,0,24,0,0,1,0,1,1,0,0
0,24,1,3,2303,1,0,4,0,2,1,0,45,0,0,1,0,1,1,0,1
0,18,1,3,2249,4,2,4,0,0,3,3,30,0,0,1,2,2,0,0,0
1,12,1,3,1007,3,1,4,3,0,1,0,22,0,0,1,0,1,1,0,0
3,30,0,0,3656,0,0,4,0,0,4,1,49,2,0,2,1,1,1,0,0
0,12,1,1,684,1,1,4,0,0,4,3,40,0,2,1,1,2,1,0,1
1,24,1,0,3758,2,3,1,1,0,4,2,23,0,2,1,3,1,1,0,0
0,21,2,1,3414,1,4,2,0,0,1,1,26,0,0,2,0,1,1,0,1
1,9,1,2,959,1,1,1,1,0,2,3,29,0,0,1,0,1,1,1,1
0,21,1,3,3763,0,2,2,0,2,2,0,24,0,0,1,1,1,1,1,0
2,18,0,0,629,2,0,4,0,0,3,1,32,1,0,2,2,1,0,0,0
0,18,1,2,3650,1,4,1,1,0,4,3,22,0,2,1,0,1,1,0,0
2,21,1,4,5248,0,1,1,0,0,3,3,26,0,0,1,0,1,1,0,0
2,18,0,3,1530,1,1,3,0,0,2,1,32,1,0,2,0,1,1,0,1
2,6,0,0,1898,0,1,1,0,0,2,0,34,0,0,2,1,2,1,0,0
1,6,1,0,753,1,1,2,1,1,3,0,64,0,0,1,0,1,1,0,0
1,15,4,3,6850,4,3,1,0,0,2,1,34,0,0,1,2,2,0,0,1
2,18,2,5,2169,1,1,4,3,0,2,3,28,0,0,1,0,1,0,0,1
1,9,1,3,3195,0,1,1,1,0,2,0,33,0,0,1,1,1,1,0,0
0,12,1,1,795,1,4,4,1,0,4,1,53,0,0,1,0,1,1,0,1
2,15,1,2,2186,0,2,1,1,0,4,0,33,1,2,1,1,1,1,0,0
1,15,1,7,1308,1,0,4,0,0,4,3,38,0,0,2,1,1,1,0,0
1,24,4,1,1837,1,2,4,1,0,4,2,34,1,1,1,1,1,1,0,1
0,12,0,3,2122,1,1,3,0,0,2,0,39,0,2,2,1,2,1,1,0
2,24,0,4,3868,1,0,4,1,0,2,3,41,0,2,2,2,1,0,0,0
1,36,1,1,3711,0,1,2,3,0,2,3,27,0,0,1,0,1,1,0,0
0,9,0,0,1138,1,1,4,0,0,4,0,25,0,0,2,1,1,1,0,0
1,24,1,0,2896,4,4,2,0,0,1,3,29,0,0,1,0,1,1,0,0
0,30,1,2,3622,3,0,4,1,0,4,1,57,0,2,2,0,1,0,0,0
3,12,2,3,2247,1,1,2,1,0,2,3,36,2,0,2,0,1,0,0,0
1,42,0,5,5954,1,2,2,1,0,1,0,41,1,0,2,1,1,1,0,0
2,11,0,3,7228,1,1,1,0,0,4,1,39,0,0,2,1,1,1,0,0
1,21,1,5,1188,1,0,2,1,0,4,1,39,0,0,1,0,2,1,0,1
2,6,1,9,1238,0,3,4,0,0,4,1,36,0,0,1,2,2,0,0,0
3,24,1,2,1925,1,1,2,0,0,2,0,26,0,0,1,0,1,1,0,0
2,6,1,2,1543,3,1,4,2,0,2,0,33,0,0,1,0,1,1,0,0
0,30,0,4,6187,4,2,1,3,0,4,3,24,0,2,2,0,1,1,0,0
2,24,0,1,1927,0,1,3,1,0,2,3,33,0,0,2,0,1,0,0,0
2,18,1,0,1505,1,1,4,0,0,2,2,32,0,1,1,2,1,0,0,0
2,12,1,0,3077,1,1,2,0,0,4,3,52,0,0,1,0,1,0,0,0
3,15,1,1,392,1,4,4,1,0,4,1,23,0,2,1,0,1,0,0,0
2,6,1,7,660,2,2,2,3,0,4,0,23,0,2,1,1,1,1,0,0
2,18,1,2,2515,1,1,3,0,0,4,0,43,0,0,1,0,1,0,0,0
2,6,1,2,4611,1,4,1,1,0,4,1,32,0,0,1,0,1,1,0,1
2,18,1,5,1568,4,1,3,1,0,4,1,24,0,2,1,1,1,1,0,0
2,10,1,3,1546,1,1,3,0,0,2,0,31,0,0,1,1,2,1,1,0
1,18,1,3,5866,4,1,2,0,0,2,3,30,0,0,2,0,1,0,0,0
2,15,0,1,1532,4,1,4,1,0,3,3,31,0,0,1,0,1,1,0,0
2,12,0,1,2012,0,2,4,1,0,2,3,61,0,0,1,0,1,1,0,0
1,18,0,2,1295,1,4,4,1,0,1,1,27,0,0,2,0,1,1,0,0
2,10,1,4,2848,4,1,1,0,2,2,0,32,0,0,1,0,2,1,0,0
3,24,1,2,2892,1,0,3,2,0,4,2,51,0,1,1,0,1,1,0,0
1,27,2,4,5965,1,0,1,0,0,2,3,30,0,0,2,2,1,0,0,0
3,24,1,0,1377,4,0,4,1,0,2,2,47,0,1,1,0,1,0,0,0
1,48,1,8,5381,0,3,3,0,0,4,2,40,1,1,1,3,1,0,0,0
0,18,4,2,1553,1,1,4,0,0,3,3,44,1,0,1,0,1,1,0,1
1,48,2,5,6681,0,1,4,0,0,4,2,38,0,1,1,0,2,0,0,0
